block	dtvm_ms	evmone_ms	geth_ms	revmc_ms	revm41_ms	revm42_ms
25817897	24.286	87.481	65.880	13.935	14.735	22.973
25817898	122.286	323.628	317.057	75.703	85.153	90.580
25817899	157.227	352.488	424.530	108.378	126.284	132.658
25817900	95.287	312.211	246.539	60.316	66.169	69.710
25817901	86.100	195.052	203.853	61.007	60.838	62.497
25817902	78.756	196.988	190.561	54.298	55.411	59.008
25817903	74.860	225.962	179.887	53.260	54.219	59.482
25817904	11.409	35.427	36.236	8.944	7.642	8.670
25817905	148.609	440.693	332.866	100.514	107.486	110.738
25817906	66.147	182.753	165.556	40.191	44.835	48.589
25817907	61.119	175.039	160.403	37.225	39.404	43.938
25817908	40.666	126.379	109.851	24.177	27.077	33.565
25817909	98.992	284.198	221.702	64.071	69.865	72.223
25817910	117.606	273.009	354.836	76.382	95.626	102.642
25817911	29.725	97.907	83.969	19.207	19.274	31.191
25817912	17.056	32.191	43.530	15.817	12.619	13.295
25817913	191.709	388.613	4334.633	135.884	162.879	170.196
25817914	161.289	448.031	4524.906	116.104	123.278	128.040
25817915	86.488	270.334	202.683	53.270	59.285	69.999
25817916	127.850	318.151	294.760	92.267	91.871	99.897
25817917	87.493	230.282	242.162	59.337	64.910	72.968
25817918	71.170	243.050	188.050	44.596	48.038	50.897
25817919	74.693	202.524	156.195	46.027	50.710	55.828
25817920	89.445	227.225	4405.725	73.577	64.337	68.278
25817921	70.392	168.628	4355.744	47.694	51.813	55.020
25817922	51.286	180.450	130.748	31.222	33.214	35.120
25817923	27.504	96.752	67.731	14.611	17.432	18.170
25817924	21.660	56.422	73.630	14.441	14.948	16.598
25817925	55.157	190.295	131.203	33.016	37.376	47.220
25817926	174.537	363.313	4335.668	128.387	131.892	197.169
25817927	160.161	361.608	3942.970	121.597	125.480	134.392
25817928	120.918	286.634	4375.309	89.970	91.910	120.165
25817929	29.244	92.786	82.085	20.047	20.899	22.238
25817930	51.903	196.907	133.902	26.216	33.168	34.424
25817931	77.488	201.149	144.819	67.715	67.196	77.954
25817932	56.841	188.336	135.992	30.896	36.043	38.740
25817933	190.690	525.427	378.886	167.234	134.269	141.029
25817934	63.142	201.991	129.867	64.998	43.166	47.031
25817935	245.105	548.238	4552.629	182.611	192.584	210.698
25817936	128.291	360.420	4306.559	97.261	98.274	125.722
25817937	12.077	29.162	34.046	7.938	7.881	9.110
25817938	124.474	338.933	315.981	79.265	87.693	91.152
25817939	94.557	262.181	204.317	55.857	63.766	67.420
25817940	103.770	226.399	4348.383	75.402	77.803	83.588
25817941	104.563	222.831	4185.145	80.263	80.198	86.182
25817942	119.090	279.789	3992.478	86.132	90.933	103.120
25817943	85.216	174.992	4112.843	62.586	67.219	69.480
25817944	94.608	175.273	4376.191	68.086	73.580	79.033
25817945	126.204	313.367	4426.578	89.624	94.006	99.064
25817946	85.202	278.194	262.361	47.408	66.101	77.239
25817947	66.093	188.725	144.303	39.757	42.326	44.731
25817948	55.161	144.581	144.998	32.102	36.549	38.154
25817949	32.041	151.196	90.820	16.784	23.708	24.088
25817950	34.582	100.459	99.607	20.671	21.997	23.512
25817951	203.820	485.066	392.659	147.763	153.944	162.067
25817952	84.295	251.834	193.464	50.040	60.399	63.889
25817953	133.542	311.516	264.264	90.990	102.224	106.774
25817954	82.028	208.975	192.547	46.851	54.790	61.400
25817955	174.994	388.300	428.011	118.535	146.940	177.504
25817956	105.916	358.955	250.599	67.105	79.173	83.796
25817957	68.243	199.575	162.587	40.676	47.747	51.160
25817958	17.892	51.827	52.742	11.293	10.791	12.788
25817959	163.744	430.226	437.505	98.320	135.357	140.110
25817960	131.003	332.656	259.948	85.895	90.566	95.535
25817961	80.472	200.969	179.405	48.206	54.400	56.830
25817962	87.333	236.903	202.374	50.287	58.054	60.318
25817963	108.689	246.071	223.348	75.019	78.829	81.081
25817964	106.593	302.136	250.179	69.387	77.917	91.104
25817965	96.262	287.178	251.135	56.655	70.058	72.947
25817966	51.395	195.716	130.540	26.236	34.843	36.985
25817967	175.932	457.460	256.966	129.004	137.111	142.394
25817968	101.863	315.847	4026.457	61.741	69.920	74.093
25817969	65.148	160.944	156.563	36.905	42.014	44.466
25817970	59.100	190.594	150.147	32.328	37.557	39.282
25817971	103.919	251.106	218.110	67.237	71.830	88.606
25817972	64.650	202.750	141.373	41.485	43.634	52.034
25817973	88.997	235.395	176.346	56.450	62.186	65.950
25817974	75.979	229.716	167.892	47.281	53.200	57.028
25817975	76.171	208.161	210.471	50.622	56.268	59.639
25817976	116.579	492.024	281.078	61.703	86.960	92.202
25817977	61.534	165.329	169.511	36.693	41.934	44.214
25817978	119.308	298.501	264.886	79.318	89.559	95.327
25817979	120.447	293.888	281.643	78.973	86.631	92.175
25817980	68.244	173.343	193.437	41.941	44.532	47.437
25817981	100.387	234.818	228.604	62.708	69.654	107.474
25817982	61.719	145.901	166.023	38.699	42.050	44.682
25817983	104.529	276.094	243.565	72.551	71.057	98.660
25817984	58.146	168.018	151.558	33.814	40.229	43.268
25817985	120.425	293.186	253.759	78.567	83.731	90.628
25817986	23.567	64.104	71.827	13.561	14.501	15.794
25817987	146.279	389.468	287.093	140.408	109.096	132.820
25817988	73.010	169.166	175.238	57.415	47.899	53.900
25817989	70.748	242.004	178.592	39.661	45.665	47.558
25817990	70.465	163.710	160.196	46.619	50.311	51.865
25817991	25.209	58.828	74.615	15.998	17.803	21.025
25817992	119.160	281.822	4424.848	74.005	85.357	91.984
25817993	26.323	62.825	68.273	15.586	17.218	20.891
25817994	7.566	25.590	29.244	4.208	4.701	5.328
25817995	164.069	443.376	354.866	103.765	116.992	121.791
25817996	126.040	283.208	4035.664	86.718	96.000	136.417
25817997	65.871	172.253	180.266	42.897	44.227	52.447
25817998	95.809	243.348	4496.778	70.200	71.807	122.989
25817999	111.138	220.751	4306.338	88.424	88.894	95.650
25818000	72.925	180.133	4200.589	55.503	57.858	60.489
25818001	119.713	232.384	4082.474	92.331	96.998	102.914
25818002	122.119	263.911	4067.776	97.061	100.881	176.758
25818003	75.801	188.608	179.614	45.498	53.527	56.302
25818004	89.390	183.773	4309.153	66.915	66.859	69.952
25818005	94.395	198.240	4191.244	68.763	73.721	78.155
25818006	90.406	166.332	3823.726	66.956	69.591	74.595
25818007	125.667	245.568	4118.809	96.499	101.062	106.961
25818008	56.135	124.543	144.490	34.655	39.848	43.510
25818009	60.347	153.645	137.047	40.068	41.855	45.450
25818010	44.917	105.036	129.497	34.421	34.668	35.946
25818011	72.346	173.485	3940.826	43.828	49.747	53.203
25818012	20.523	51.791	69.436	12.841	14.017	15.567
25818013	111.172	265.137	242.196	68.012	77.426	82.891
25818014	47.844	103.566	3942.722	38.640	39.512	41.913
25818015	127.282	345.373	301.866	81.738	94.616	99.607
25818016	102.109	263.104	241.969	66.468	73.680	81.023
25818017	32.121	71.848	4064.110	25.205	25.220	26.840
25818018	135.899	453.473	303.022	82.388	97.136	99.445
25818019	151.077	297.737	4146.706	115.137	119.910	128.152
25818020	127.561	288.074	4236.253	92.362	97.637	105.022
25818021	78.567	190.787	180.857	67.275	55.545	60.543
25818022	95.049	278.020	227.772	64.700	66.919	77.924
25818023	244.859	488.614	4574.872	197.878	214.530	233.578
25818024	98.292	242.826	235.772	60.293	68.514	73.310
25818025	163.277	298.070	4260.507	129.256	130.771	139.956
25818026	89.590	295.457	201.280	56.965	63.130	106.798
25818027	73.713	203.422	164.085	48.274	48.139	73.765
25818028	61.231	129.889	132.914	38.889	41.785	48.516
25818029	48.210	151.842	147.503	27.183	32.535	36.231
25818030	24.016	51.996	64.657	16.715	17.622	19.192
25818031	92.662	219.411	245.961	58.885	65.870	72.523
25818032	148.933	354.024	297.381	99.281	111.442	118.986
25818033	73.616	182.557	168.566	45.723	50.801	53.188
25818034	84.302	198.515	182.876	59.591	60.113	64.943
25818035	62.159	129.542	146.185	38.851	43.044	43.428
25818036	66.355	160.041	160.313	40.890	46.429	63.077
25818037	37.217	92.525	99.185	22.170	23.536	25.985
25818038	90.676	227.008	241.604	54.759	65.477	67.956
25818039	68.360	157.218	153.674	38.311	44.676	47.782
25818040	111.353	277.263	4328.846	71.308	83.661	89.645
25818041	88.208	242.773	192.624	55.844	63.187	66.421
25818042	98.148	300.668	4340.594	65.315	72.881	77.735
25818043	83.760	217.406	223.466	47.213	60.213	67.758
25818044	87.602	231.656	204.851	48.931	58.823	61.611
25818045	99.752	260.137	4351.578	61.973	76.340	79.490
25818046	14.935	39.412	54.124	9.965	10.905	11.389
25818047	60.240	169.269	158.075	31.258	40.197	41.228
25818048	145.352	330.271	327.068	89.245	107.844	122.356
25818049	108.306	276.545	4024.787	68.704	78.538	101.587
25818050	86.957	213.152	182.406	52.344	60.554	65.309
25818051	72.694	199.458	192.234	44.682	52.101	56.845
25818052	87.226	204.037	203.380	52.160	61.903	70.797
25818053	78.900	198.586	189.298	47.643	56.793	59.942
25818054	67.749	190.755	190.801	36.139	47.106	51.466
25818055	80.460	182.721	203.070	50.613	57.334	63.313
25818056	76.989	184.141	193.202	46.329	53.992	77.967
25818057	98.881	228.898	3726.118	69.313	76.470	80.200
25818058	10.930	34.012	34.818	6.957	7.386	8.433
25818059	123.598	290.190	269.659	76.491	91.452	99.035
25818060	10.096	28.644	40.749	6.107	6.826	7.537
25818061	119.003	308.087	245.511	70.862	85.324	90.647
25818062	76.045	213.485	185.025	45.158	50.745	54.295
25818063	86.224	217.138	206.329	49.328	57.565	62.573
25818064	84.644	246.133	207.414	51.912	59.922	64.564
25818065	76.559	194.089	151.579	56.305	56.531	65.796
25818066	132.683	304.048	320.483	87.644	98.460	104.230
25818067	81.033	197.729	200.853	51.481	60.124	62.609
25818068	86.716	221.497	230.323	51.483	63.019	64.981
25818069	109.910	239.440	228.893	71.779	81.962	85.764
25818070	69.773	189.320	185.292	38.156	47.670	49.172
25818071	69.976	176.097	168.819	41.307	46.275	49.022
25818072	64.661	182.698	155.493	33.224	40.782	44.352
25818073	77.791	173.578	203.981	44.900	52.928	56.375
25818074	75.656	186.666	209.094	46.544	55.778	61.615
25818075	95.472	238.003	3823.006	58.095	68.838	73.795
25818076	103.568	230.037	4407.426	69.377	79.560	84.489
25818077	93.454	257.519	222.717	55.681	66.317	71.788
25818078	90.201	216.931	214.908	52.864	62.027	66.872
25818079	151.266	261.006	4382.057	123.049	124.899	138.222
25818080	76.906	233.262	217.786	47.291	55.781	59.236
25818081	9.698	24.610	38.599	5.650	6.391	11.549
25818082	160.862	416.922	4247.431	113.684	129.449	138.925
25818083	85.270	207.266	193.239	53.857	61.018	62.878
25818084	73.224	165.553	166.411	46.490	53.062	56.070
25818085	73.206	177.024	157.431	46.425	53.992	56.372
25818086	65.218	199.825	148.572	37.024	43.430	49.153
25818087	60.269	182.750	150.972	34.962	40.618	42.999
25818088	76.747	243.334	174.601	42.406	51.421	55.796
25818089	72.501	201.517	182.060	44.638	53.339	60.286
25818090	50.341	151.121	124.455	27.137	32.784	36.061
25818091	28.895	59.526	85.699	20.942	22.788	25.791
25818092	106.395	249.731	238.872	64.876	74.563	123.547
25818093	57.019	156.251	135.071	32.443	37.790	41.708
25818094	56.828	125.204	123.400	36.639	39.794	49.482
25818095	129.099	268.076	4247.803	91.445	101.291	110.385
25818096	88.793	221.319	206.125	62.655	63.184	66.308
25818097	14.917	36.165	49.429	8.738	9.259	11.040
25818098	123.619	269.209	272.614	81.826	90.106	100.023
25818099	14.037	31.995	39.359	9.563	9.831	11.215
25818100	37.364	97.312	114.033	19.968	24.541	40.386
25818101	17.615	66.282	46.775	8.428	11.142	18.621
25818102	107.923	322.983	261.961	60.215	75.744	80.521
25818103	64.756	250.938	179.206	31.382	44.647	48.971
25818104	12.035	34.296	32.983	5.427	7.300	8.425
25818105	72.531	253.696	187.000	34.462	48.317	51.629
25818106	140.048	545.292	333.811	71.480	96.944	100.488
25818107	105.249	458.171	299.486	53.955	82.687	90.422
25818108	44.666	243.489	120.655	21.646	32.193	33.501
25818109	129.067	516.892	367.759	64.030	105.592	108.104
25818110	155.753	614.933	368.527	70.371	97.549	107.216
25818111	99.912	300.998	194.683	60.863	72.030	76.381
25818112	29.849	110.361	82.582	14.481	19.908	20.788
25818113	159.377	511.334	347.914	87.577	111.847	117.630
25818114	217.180	577.882	405.670	136.210	159.374	187.873
25818115	64.799	263.179	173.623	37.595	43.806	73.391
25818116	72.191	166.978	120.412	52.351	57.669	62.073
25818117	37.259	98.284	76.831	22.986	27.473	29.737
25818118	92.910	286.302	184.349	59.213	67.986	114.082
25818119	82.121	253.444	174.442	50.834	60.186	64.047
25818120	160.045	399.856	379.153	103.996	116.702	128.053
25818121	218.713	512.832	417.964	139.155	160.664	211.435
25818122	107.872	288.309	212.356	59.738	71.407	120.821
25818123	198.644	560.716	3985.020	118.377	143.355	156.446
25818124	163.507	459.330	4110.163	98.157	117.632	121.506
25818125	117.533	334.802	4103.662	67.333	82.988	88.850
25818126	182.899	715.887	405.622	96.632	134.967	139.956
25818127	174.957	586.806	311.827	96.254	121.424	127.852
25818128	97.458	362.056	211.504	56.138	68.496	72.760
25818129	73.519	252.591	173.400	35.696	46.706	52.883
25818130	158.435	545.597	357.210	87.139	110.769	114.726
25818131	55.546	152.515	151.811	29.104	35.127	39.229
25818132	166.270	378.875	307.529	112.317	123.284	139.309
25818133	81.530	296.787	173.115	44.897	54.439	57.418
25818134	253.034	663.510	4312.996	183.587	207.459	220.255
25818135	220.238	547.823	4039.395	145.016	162.301	252.159
25818136	44.100	144.638	120.978	23.789	28.114	42.414
25818137	154.322	458.205	4020.657	103.798	115.978	127.008
25818138	47.799	155.689	122.244	26.258	31.503	53.541
25818139	138.361	343.794	267.836	127.889	95.484	156.294
25818140	239.755	543.912	4267.317	173.850	187.410	220.851
25818141	97.861	281.290	4233.634	67.605	73.622	79.645
25818142	184.868	382.201	4373.682	133.194	145.438	164.132
25818143	114.278	219.410	4126.714	83.574	90.555	158.692
25818144	162.374	382.231	4310.719	111.208	124.121	212.629
25818145	64.388	155.257	4334.838	45.879	49.114	56.595
25818146	150.302	384.679	4619.497	99.956	113.798	118.809
25818147	114.319	259.212	4194.485	76.473	85.755	93.762
25818148	121.391	283.248	3995.457	84.195	96.736	126.192
25818149	135.241	325.013	4213.672	90.839	103.046	142.211
25818150	101.852	213.977	3907.720	72.176	79.249	85.524
25818151	75.081	211.053	4146.356	52.166	57.874	59.936
25818152	146.629	332.310	4215.882	97.663	110.564	118.245
25818153	107.752	294.014	4316.306	72.889	80.554	86.775
25818154	46.211	170.388	103.904	25.485	30.388	36.053
25818155	158.778	356.290	4143.950	118.108	130.433	141.269
25818156	82.977	192.126	3963.670	59.239	64.735	105.518
25818157	105.283	313.619	3842.355	64.159	76.466	111.930
25818158	53.758	151.602	122.879	28.851	35.300	39.464
25818159	90.785	248.440	184.393	51.886	62.523	100.755
25818160	91.344	249.877	204.391	54.046	63.391	103.521
25818161	75.461	206.885	189.179	45.013	52.290	87.842
25818162	112.653	346.777	239.229	70.664	81.789	129.376
25818163	126.125	328.127	220.642	85.619	96.289	101.040
25818164	56.716	193.765	125.175	37.910	37.695	57.829
25818165	67.368	188.140	4220.044	39.185	46.341	63.822
25818166	79.582	214.809	161.236	46.574	55.700	58.510
25818167	157.126	522.525	3948.428	99.703	118.193	138.059
25818168	44.417	115.996	109.191	27.584	31.705	56.183
25818169	50.329	111.813	147.474	31.692	34.833	61.321
25818170	175.780	436.922	378.138	107.141	125.199	206.818
25818171	76.784	266.566	172.703	45.959	52.732	57.770
25818172	59.387	213.000	128.084	48.988	37.981	44.788
25818173	63.211	189.330	140.040	57.883	42.064	44.527
25818174	214.853	555.321	4042.500	152.622	164.856	178.704
25818175	131.007	377.009	268.810	85.890	98.748	114.512
25818176	50.350	187.860	124.014	30.267	37.972	59.996
25818177	113.953	353.621	277.080	67.317	83.291	95.044
25818178	84.238	323.610	182.328	47.320	61.827	70.803
25818179	49.786	213.954	110.138	26.991	36.327	38.959
25818180	153.193	431.281	308.118	93.573	114.256	138.594
25818181	112.800	280.558	4040.357	70.314	82.505	142.702
25818182	31.257	101.898	77.260	16.437	20.056	33.729
25818183	181.127	496.396	4147.311	126.014	142.493	233.597
25818184	70.851	210.251	159.565	39.995	49.470	54.319
25818185	114.800	402.625	244.248	68.024	83.323	117.260
25818186	113.634	306.869	3980.678	75.760	85.165	92.040
25818187	22.366	57.726	4073.681	15.668	16.751	20.011
25818188	26.848	79.634	72.484	15.221	17.614	29.992
25818189	183.175	484.878	4078.961	116.700	140.327	230.923
25818190	122.598	295.904	4139.716	85.671	95.349	111.497
25818191	76.784	199.561	4333.256	56.081	60.962	92.535
25818192	162.876	368.938	4146.429	109.890	123.710	188.185
25818193	235.296	581.355	4502.926	176.035	200.201	212.381
25818194	68.304	154.935	4256.660	49.197	56.092	88.101
25818195	94.429	250.880	232.222	53.443	68.680	74.495
25818196	212.121	497.177	4401.636	143.973	163.105	176.050
25818197	44.919	89.377	4043.638	36.090	38.147	42.543
25818198	72.819	262.575	193.332	36.857	49.521	82.561
25818199	139.563	365.617	297.077	78.703	97.818	157.984
25818200	56.286	120.029	4215.979	44.818	46.530	75.991
25818201	164.367	448.938	356.312	97.541	120.202	193.567
25818202	133.877	332.270	4231.133	81.770	97.545	154.505
25818203	16.006	39.653	41.125	10.884	11.683	19.520
25818204	144.322	440.879	308.071	87.846	107.815	129.211
25818205	25.557	49.008	47.241	19.703	20.514	23.803
25818206	129.210	379.965	259.006	77.151	91.868	158.716
25818207	17.826	37.428	36.181	12.547	13.127	15.725
25818208	106.746	374.098	246.038	61.430	76.460	86.814
25818209	39.471	110.239	92.255	20.841	25.022	31.421
25818210	163.693	309.780	4381.011	124.841	133.703	139.882
25818211	93.362	137.466	3905.888	89.961	88.152	94.705
25818212	238.126	623.260	4186.541	182.319	200.827	216.550
25818213	49.222	128.913	101.587	28.303	33.648	37.302
25818214	134.246	374.955	302.482	79.454	94.800	104.029
25818215	30.991	79.356	79.541	17.209	20.541	23.199
25818216	148.720	434.215	338.283	88.652	101.633	112.362
25818217	42.888	115.379	95.594	30.515	32.924	56.167
25818218	94.643	325.105	228.011	54.258	67.702	72.470
25818219	106.642	340.103	230.140	60.894	72.946	78.274
25818220	75.294	274.307	192.472	39.645	52.112	88.038
25818221	97.001	305.424	208.290	58.536	70.819	121.350
25818222	41.715	115.076	98.095	21.971	26.274	42.848
25818223	136.703	318.196	4429.578	88.828	102.134	156.179
25818224	97.799	261.431	209.198	55.525	67.489	115.870
25818225	50.088	170.026	115.387	26.861	31.982	55.487
25818226	118.227	304.793	246.147	74.092	85.053	138.723
25818227	55.543	170.240	4116.346	34.403	38.840	44.285
25818228	167.376	627.298	416.837	94.995	133.446	213.527
25818229	64.523	180.967	162.571	35.452	43.144	74.923
25818230	111.773	313.633	237.982	69.199	78.576	96.730
25818231	36.620	98.946	105.370	19.061	23.030	27.582
25818232	182.388	528.792	3997.068	133.658	148.380	170.983
25818233	85.442	243.486	215.482	48.326	58.972	66.892
25818234	128.419	311.844	213.902	87.433	100.501	147.792
25818235	71.845	179.597	170.512	42.374	49.057	48.068
25818236	80.158	215.578	193.578	46.357	54.798	54.407
25818237	28.745	112.611	86.335	15.724	18.372	18.519
25818238	93.022	313.887	216.596	52.556	63.167	63.830
25818239	81.892	217.076	172.933	52.326	58.562	59.594
25818240	76.911	201.299	168.330	45.343	53.055	53.368
25818241	115.056	322.650	4037.510	78.387	86.050	86.777
25818242	92.916	329.113	221.135	54.874	64.477	65.268
25818243	71.257	235.267	147.839	42.623	50.241	50.804
25818244	114.650	281.296	236.779	78.290	87.441	88.110
25818245	103.393	231.541	151.810	73.097	79.394	81.056
25818246	132.370	355.159	270.638	82.684	97.226	97.881
25818247	79.565	242.512	182.508	51.233	55.810	57.813
25818248	72.850	234.793	176.501	44.589	49.011	50.668
25818249	73.171	193.574	159.339	40.062	49.023	50.946
25818250	88.830	258.392	195.955	49.591	62.343	63.168
25818251	44.703	136.855	113.974	24.691	29.878	30.895
25818252	111.990	390.938	241.872	66.502	80.132	83.425
25818253	92.515	259.890	224.850	51.970	64.013	64.377
25818254	72.278	206.604	176.281	41.773	50.087	51.381
25818255	142.662	371.426	4038.512	87.845	99.946	104.287
25818256	73.469	244.103	160.060	44.663	50.553	51.382
25818257	9.725	31.436	35.087	6.274	6.588	6.896
25818258	59.099	243.694	144.601	30.772	38.844	39.587
25818259	126.754	360.921	3935.816	83.138	94.757	96.916
25818260	130.195	377.639	286.260	82.174	94.292	98.504
25818261	49.306	88.353	3679.165	41.245	41.907	43.427
25818262	49.093	183.127	124.284	26.647	32.280	33.035
25818263	224.827	534.351	4453.217	151.735	171.241	171.710
25818264	153.817	383.701	4078.355	103.628	116.770	118.452
25818265	79.816	243.855	181.208	44.637	54.006	54.558
25818266	70.638	221.348	143.147	41.999	51.245	52.153
25818267	142.972	433.440	304.716	93.827	106.925	108.384
25818268	9.894	29.345	35.024	5.485	5.754	6.353
25818269	107.807	325.414	243.862	102.991	76.188	75.917
25818270	92.784	243.589	4018.619	89.464	64.524	64.738
25818271	90.531	260.992	200.719	55.755	65.962	67.226
25818272	55.084	144.347	125.306	31.605	35.902	36.375
25818273	110.159	270.183	247.761	67.510	76.925	76.987
25818274	37.113	119.500	75.907	23.984	26.619	27.179
25818275	51.148	169.455	112.417	28.957	34.141	34.638
25818276	120.624	328.313	279.244	78.234	86.599	89.997
25818277	69.224	193.258	178.298	39.305	47.371	49.781
25818278	70.744	247.225	147.244	42.776	51.281	52.180
25818279	85.730	229.876	203.147	53.994	60.620	62.243
25818280	83.223	227.172	206.561	52.187	60.148	61.525
25818281	37.646	123.293	100.170	19.738	23.391	24.339
25818282	54.730	192.987	144.914	28.966	37.414	37.720
25818283	146.599	359.291	309.317	88.049	103.810	103.622
25818284	74.353	208.503	184.064	44.864	51.850	52.421
25818285	58.978	194.915	4206.377	36.663	42.846	43.897
25818286	96.896	222.944	226.343	61.881	69.772	77.640
25818287	70.105	252.060	186.507	42.039	50.442	50.724
25818288	79.027	201.260	181.860	51.365	53.223	54.461
25818289	54.473	209.519	121.593	31.216	38.112	39.822
25818290	105.303	250.062	240.587	66.569	75.696	75.614
25818291	105.186	299.547	246.123	66.362	77.570	80.745
25818292	76.666	203.717	182.581	46.688	54.927	56.131
25818293	56.065	182.493	128.647	33.491	39.154	40.438
25818294	104.266	248.885	231.513	64.893	75.925	76.051
25818295	52.272	161.475	118.898	28.681	35.368	35.682
25818296	118.045	291.652	4434.695	80.875	89.315	89.774
25818297	19.701	53.093	60.659	13.799	13.961	15.167
25818298	61.698	201.234	160.688	33.715	40.457	41.560
25818299	140.603	484.361	341.275	82.612	112.140	112.093
25818300	25.825	73.150	4177.699	15.685	17.952	18.606
25818301	55.450	159.432	142.760	33.788	38.090	39.163
25818302	204.889	587.830	381.008	140.159	155.939	160.221
25818303	49.289	152.294	119.652	27.717	32.436	33.044
25818304	111.069	299.554	282.697	69.223	80.204	81.515
25818305	71.344	205.616	164.257	42.415	48.647	49.534
25818306	77.426	190.185	168.877	47.468	52.786	53.849
25818307	55.385	134.090	114.934	36.874	40.663	44.595
25818308	119.295	293.718	284.440	77.120	89.240	89.883
25818309	28.407	90.347	77.587	15.503	18.727	19.497
25818310	149.475	522.555	297.943	95.981	111.350	111.693
25818311	105.319	265.520	237.617	65.572	74.695	84.220
25818312	90.919	256.815	189.767	51.645	61.041	61.381
25818313	32.737	134.164	85.334	17.200	20.673	21.191
25818314	128.520	321.902	266.072	78.630	91.320	92.167
25818315	145.779	471.122	309.536	97.684	108.742	110.911
25818316	110.963	255.784	4155.164	74.321	82.080	84.728
25818317	79.342	235.767	212.612	63.964	61.036	61.696
25818318	115.589	318.254	240.196	76.683	82.786	83.783
25818319	64.263	162.674	146.627	39.452	44.733	45.441
25818320	67.304	197.122	149.541	49.789	47.818	48.276
25818321	102.673	322.882	260.937	63.208	72.561	73.677
25818322	64.692	156.808	154.705	42.408	45.574	46.002
25818323	119.882	293.253	253.786	75.386	83.399	84.692
25818324	115.207	229.673	4335.836	79.156	87.661	90.873
25818325	68.272	151.558	4158.227	47.194	51.244	52.059
25818326	46.982	139.638	118.865	27.326	31.938	32.412
